"","account_status","duration","credit_history","purpose","amount","savings","employment","installment_rate","status_gender","guarantors","resident_since","property","age","other_plans","housing","num_credits","job","people_maintenance","phone","foreign","BAD"
"1","X1",6,"X5","X5",1169,"X5","X5",4,"X3","X1",4,"X1",67,"X3","X2",2,"X3",1,"X2","X1","GOOD"
"2","X2",48,"X3","X5",5951,"X1","X3",2,"X2","X1",2,"X1",22,"X3","X2",1,"X3",1,"X1","X1","BAD"
"3","X4",12,"X5","X8",2096,"X1","X4",2,"X3","X1",3,"X1",49,"X3","X2",1,"X2",2,"X1","X1","GOOD"
"4","X1",42,"X3","X4",7882,"X1","X4",2,"X3","X3",4,"X2",45,"X3","X3",1,"X3",2,"X1","X1","GOOD"
"5","X1",24,"X4","X1",4870,"X1","X3",3,"X3","X1",4,"X4",53,"X3","X3",2,"X3",2,"X1","X1","BAD"
"6","X4",36,"X3","X8",9055,"X5","X3",2,"X3","X1",4,"X4",35,"X3","X3",1,"X2",2,"X2","X1","GOOD"
"7","X4",24,"X3","X4",2835,"X3","X5",3,"X3","X1",4,"X2",53,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"8","X2",36,"X3","X2",6948,"X1","X3",2,"X3","X1",2,"X3",35,"X3","X1",1,"X4",1,"X2","X1","GOOD"
"9","X4",12,"X3","X5",3059,"X4","X4",2,"X1","X1",4,"X1",61,"X3","X2",1,"X2",1,"X1","X1","GOOD"
"10","X2",30,"X5","X1",5234,"X1","X1",4,"X4","X1",2,"X3",28,"X3","X2",2,"X4",1,"X1","X1","BAD"
"11","X2",12,"X3","X1",1295,"X1","X2",3,"X2","X1",1,"X3",25,"X3","X1",1,"X3",1,"X1","X1","BAD"
"12","X1",48,"X3","X10",4308,"X1","X2",3,"X2","X1",4,"X2",24,"X3","X1",1,"X3",1,"X1","X1","BAD"
"13","X2",12,"X3","X5",1567,"X1","X3",1,"X2","X1",1,"X3",22,"X3","X2",1,"X3",1,"X2","X1","GOOD"
"14","X1",24,"X5","X1",1199,"X1","X5",4,"X3","X1",4,"X3",60,"X3","X2",2,"X2",1,"X1","X1","BAD"
"15","X1",15,"X3","X1",1403,"X1","X3",2,"X2","X1",4,"X3",28,"X3","X1",1,"X3",1,"X1","X1","GOOD"
"16","X1",24,"X3","X5",1282,"X2","X3",4,"X2","X1",2,"X3",32,"X3","X2",1,"X2",1,"X1","X1","BAD"
"17","X4",24,"X5","X5",2424,"X5","X5",4,"X3","X1",4,"X2",53,"X3","X2",2,"X3",1,"X1","X1","GOOD"
"18","X1",30,"X1","X10",8072,"X5","X2",2,"X3","X1",3,"X3",25,"X1","X2",3,"X3",1,"X1","X1","GOOD"
"19","X2",24,"X3","X2",12579,"X1","X5",4,"X2","X1",2,"X4",44,"X3","X3",1,"X4",1,"X2","X1","BAD"
"20","X4",24,"X3","X5",3430,"X3","X5",3,"X3","X1",2,"X3",31,"X3","X2",1,"X3",2,"X2","X1","GOOD"
"21","X4",9,"X5","X1",2134,"X1","X3",4,"X3","X1",4,"X3",48,"X3","X2",3,"X3",1,"X2","X1","GOOD"
"22","X1",6,"X3","X5",2647,"X3","X3",2,"X3","X1",3,"X1",44,"X3","X1",1,"X3",2,"X1","X1","GOOD"
"23","X1",10,"X5","X1",2241,"X1","X2",1,"X3","X1",3,"X1",48,"X3","X1",2,"X2",2,"X1","X2","GOOD"
"24","X2",12,"X5","X2",1804,"X2","X2",3,"X3","X1",4,"X2",44,"X3","X2",1,"X3",1,"X1","X1","GOOD"
"25","X4",10,"X5","X4",2069,"X5","X3",2,"X4","X1",1,"X3",26,"X3","X2",2,"X3",1,"X1","X2","GOOD"
