"","glm","rf","xgbTree","nnet"
"AUC",0.788183922558923,0.785137836700337,0.786489898989899,0.79319234006734
"balAccuracy",0.700994318181818,0.705923821548821,0.710072074915825,0.712657828282828
"EMP",0.15436393124603,0.155002662380094,0.154618373415783,0.154939357014923
"acceptedLoans",0.611430633814827,0.615104149223695,0.611618255405114,0.615783324956226
"profit",15151771.7966,15426268.4604,15285895.8638,13950516.7158
"profitPerLoan",16170.5141906083,16463.4668734258,16313.6562046958,14888.4916924226
"profitPerEUR",0.0634744276631353,0.0630219793576419,0.0640363057402115,0.0628816987485099
"statParityDiff",0.379220307426833,0.326033648933996,0.335467611198147,0.459505483277706
"averageOddsDiff",0.301147776183644,0.24906408751459,0.257690189612715,0.38157192719603
"predParityDiff",0.139355123674912,0.0991472756178639,0.0806595365418895,0.00526315789473686
