"","glm","rf","xgbTree","nnet"
"AUC",0.790019991582492,0.784519675925926,0.784280303030303,0.797679924242424
"balAccuracy",0.709895833333333,0.714825336700337,0.712360585016835,0.717169086700337
"EMP",0.154967012242884,0.155121464345485,0.15473520763638,0.155139193247352
"acceptedLoans",0.615413499157853,0.613107711802073,0.613654707796051,0.617294945473842
"profit",16791050.1642,18271821.7718,18018044.0468,19953518.9794
"profitPerLoan",17920.0108475987,19500.3434064034,19229.5027180363,21295.1109705443
"profitPerEUR",0.0596966005484676,0.0649611331594701,0.0640588865858922,0.0709400091358884
"statParityDiff",0.326851031946053,0.390675022137457,0.33748836364462,0.309186476852167
"averageOddsDiff",0.248071488530599,0.311062005107916,0.256839279005707,0.230279564210698
"predParityDiff",0.0923076923076923,0.0420414792603698,0.10200021507689,0.053510548940165
