"","glm","rf","xgbTree","nnet"
"AUC",0.796728971962617,0.813654640295588,0.793523147141926,0.785535753097153
"balAccuracy",0.720386872419039,0.709954357748316,0.702945011953923,0.726200825907411
"EMP",0.167670320002839,0.168584028163023,0.169824327912282,0.166111813382083
"acceptedLoans",0.611131055896411,0.614425682019844,0.614765343764107,0.605375844544251
"profit",47554.0372,49730.8838,37858.3858,40310.0678
"profitPerLoan",158.513457333333,165.769612666667,126.194619333333,134.366892666667
"profitPerEUR",0.0483599558644816,0.0505736944174671,0.0384999881017151,0.040993219808102
"statParityDiff",0.662745397601405,0.434955312810328,0.445726071346727,0.612863799556948
"averageOddsDiff",0.567641837274307,0.336041021379467,0.371476039384553,0.518354486162524
"predParityDiff",0.149732620320856,0.169642857142857,0.0277777777777778,0.146739130434783
