"","glm","rf","xgbTree","nnet"
"AUC",0.819441425777005,0.834356661595305,0.837970006520322,0.812703760052163
"balAccuracy",0.759889154531624,0.762225603129754,0.757552705933493,0.736633340578135
"EMP",0.16986143666038,0.170499711838616,0.172817913775534,0.168882445892908
"acceptedLoans",0.615654440194505,0.620482542904307,0.6211335148931,0.632925766411309
"profit",48974.8182,54368.3474,58607.0144,52941.6772
"profitPerLoan",163.249394,181.227824666667,195.356714666667,176.472257333333
"profitPerEUR",0.0519860586619338,0.0581651347349592,0.063714218746263,0.0579592056315208
"statParityDiff",0.320296386830647,0.324344969826598,0.362080818883202,0.290657703765946
"averageOddsDiff",0.203960237717509,0.198997003349198,0.242362695474805,0.18035368034046
"predParityDiff",0.0623721881390593,0.124661246612466,0.0838414634146342,0.134848484848485
