"","glm","rf","xgbTree","nnet"
"AUC",0.748206911540969,0.736742012605955,0.739078461204086,0.707672245164095
"balAccuracy",0.748206911540969,0.736742012605955,0.739078461204086,0.707672245164095
"EMP",0.165226294504851,0.16543629981655,0.165511171584703,0.164982697422734
"acceptedLoans",0.600485983849101,0.602074526297656,0.602640878552972,0.598643343288454
"profit",38017.104,22940.7892,37843.167,35434.103
"profitPerLoan",126.72368,76.4692973333333,126.14389,118.113676666667
"profitPerEUR",0.0386613961671251,0.023329576593938,0.0384845113821841,0.0360346199413221
"statParityDiff",0.0708883966083569,0.00359025284546632,0.0534718508899243,0.0449163547475365
"averageOddsDiff",0.0608422099670116,0.12936868877641,0.0626356676991262,0.165323839742137
"predParityDiff",0.247104247104247,0.279965156794425,0.195245871892578,0.286303107165504
