"","glm","rf","xgbTree","nnet"
"AUC",0.684416431210606,0.685177135405347,0.687459247989567,0.707617909150185
"balAccuracy",0.684416431210606,0.685177135405347,0.687459247989567,0.707617909150185
"EMP",0.164662541425787,0.164294258858269,0.164299239055385,0.164865089431503
"acceptedLoans",0.596221588394759,0.593435789850746,0.593473461538462,0.597753721569612
"profit",33771.2736,-3666.2932,-1016.7378,42756.2058
"profitPerLoan",112.570912,-12.2209773333333,-3.389126,142.520686
"profitPerEUR",0.0343436098582884,-0.00372842744334332,-0.00103396889157815,0.0434808135579431
"statParityDiff",0.0858605148575357,0.170498815980445,0.194790313956153,0.0413261019020701
"averageOddsDiff",0.00685616076150183,0.27801138223666,0.305157513031654,0.0618259424340862
"predParityDiff",0.220779220779221,0.297048406139315,0.31055900621118,0.211382113821138
