"","glm","rf","xgbTree","nnet"
"AUC",0.800695500978048,0.802325581395349,0.80629211041078,0.807704846772441
"balAccuracy",0.717996087806998,0.708704629428385,0.725005433601391,0.720332536405129
"EMP",0.167757400067041,0.169927923809787,0.169203295568708,0.167164038919979
"acceptedLoans",0.610589683512669,0.617357440517802,0.610676065824819,0.614535262329648
"profit",42377.4388,33583.2594,33674.888,48983.8916
"profitPerLoan",141.258129333333,111.944198,112.249626666667,163.279638666667
"profitPerEUR",0.04309562743114,0.0341524093010012,0.0342455907701851,0.0498140426202667
"statParityDiff",0.378275150867008,0.344587884806356,0.367504392330609,0.313574211290199
"averageOddsDiff",0.286166679257636,0.233552038478004,0.258383067663872,0.211916093777543
"predParityDiff",0.0505952380952381,0.264628533859303,0.170588235294118,0.136651870640457
