"","glm","rf","xgbTree","nnet"
"AUC",0.85402103942325,0.839894661109612,0.859246008139089,0.856469280518347
"balAccuracy",0.74438030708153,0.729946598642876,0.745721906586454,0.746146076940692
"EMP",0.248794764140427,0.248770810224425,0.248813664689645,0.248805335818925
"acceptedLoans",0.559335068107452,0.559230268216363,0.559530319209623,0.559407034939594
"profit",1961935.6,1806276.4,1972321.4,1970756.2
"profitPerLoan",43.5985688888889,40.1394755555556,43.8293644444445,43.7945822222222
"profitPerEUR",0.0435985688888889,0.0401394755555556,0.0438293644444444,0.0437945822222222
"statParityDiff",0.571195282376956,0.566545701973237,0.57139941029712,0.571535495577228
"averageOddsDiff",0.355871563679417,0.364107026628155,0.354876725889205,0.35463414899206
"predParityDiff",NA,NA,NA,NA
