"","glm","rf","xgbTree","nnet"
"AUC",0.778073659995944,0.769109031985225,0.784336863692254,0.779872091199659
"balAccuracy",0.778073659995944,0.769109031985225,0.784336863692254,0.779872091199659
"EMP",0.248547059692736,0.248551429707402,0.248557261602458,0.248557927067809
"acceptedLoans",0.557549809292508,0.557582865379235,0.557626979562721,0.557632013339961
"profit",1761283,1705545.8,1771711.2,1742774.4
"profitPerLoan",39.1396222222222,37.9010177777778,39.37136,38.72832
"profitPerEUR",0.0391396222222222,0.0379010177777778,0.03937136,0.03872832
"statParityDiff",0.0358265685323976,0.0570217262891338,0.0539338864809493,0.0765684077772988
"averageOddsDiff",0.0799493957030457,0.0347419862870581,0.0347326313477197,0.0420580561389279
"predParityDiff",0.0256732095816526,0.0125532994474343,0.00898239154318969,0.0129421955639647
