"","glm","rf","xgbTree","nnet"
"AUC",0.858004761747845,0.839106522255942,0.826470504999193,0.856459924765428
"balAccuracy",0.746258668654325,0.727759692491065,0.722257000254986,0.744401105361874
"EMP",0.248989109926329,0.24893539580925,0.248920632060149,0.248964146846362
"acceptedLoans",0.55944355920605,0.559085475474913,0.558993632116777,0.559154223545855
"profit",1970819.8,1742799.2,1853063.4,1955907.4
"profitPerLoan",43.7959955555556,38.7288711111111,41.1791866666667,43.4646088888889
"profitPerEUR",0.0437959955555556,0.0387288711111111,0.0411791866666667,0.0434646088888889
"statParityDiff",0.0896509385797038,0.0492762372041048,0.118230578175373,0.0906210665065441
"averageOddsDiff",0.0708926249050834,0.0626668992562211,0.0982530466494345,0.0556560167685415
"predParityDiff",0.00500642638021964,0.0091074877560875,0.00739130434782609,0.000610430608123047
