"","glm","rf","xgbTree","nnet"
"AUC",0.856344983235894,0.843870187429252,0.859747742818954,0.857913511490002
"balAccuracy",0.74521673139543,0.732297882371651,0.746312906464751,0.745972150872543
"EMP",0.248793539521567,0.248779743551746,0.24879035541932,0.248816135232288
"acceptedLoans",0.559305747804085,0.559285786108683,0.559366057421649,0.559476668460073
"profit",1964622,1643808.8,1969698.6,1970735
"profitPerLoan",43.6582666666667,36.5290844444445,43.77108,43.7941111111111
"profitPerEUR",0.0436582666666667,0.0365290844444444,0.04377108,0.0437941111111111
"statParityDiff",0.291049277327345,0.154497668355686,0.218554704537921,0.312790271647155
"averageOddsDiff",0.165887340420925,0.0951198921103567,0.124502871276797,0.182219397916353
"predParityDiff",0.0157731008218081,0.00546736849820884,0.0101730616470757,0.0138457787659245
