"","glm","rf","xgbTree","nnet"
"AUC",0.853818143310676,0.844551212710041,0.85892153031836,0.857756180598121
"balAccuracy",0.744153895584593,0.7298101655255,0.745083241129855,0.745352498354609
"EMP",0.248773606777407,0.248782207400839,0.248786406536254,0.248794994076795
"acceptedLoans",0.559239365727905,0.559328536282693,0.559348243343658,0.559364976268913
"profit",1959820.4,1645754.4,1966483.4,1968091
"profitPerLoan",43.5515644444445,36.57232,43.6996311111111,43.7353555555556
"profitPerEUR",0.0435515644444445,0.03657232,0.0436996311111111,0.0437353555555556
"statParityDiff",0.235411333959758,0.0355362034200773,0.168207138744676,0.271233914645119
"averageOddsDiff",0.126097885530494,0.0598457659485999,0.0830388497520493,0.145050512321494
"predParityDiff",0.0177541589474769,0.0196955090082759,0.0157229484471959,0.0216572525957335
