"","glm","rf","xgbTree","nnet"
"AUC",0.616546753366389,0.599703581792552,0.620094531440678,0.618119710068127
"balAccuracy",0.616546753366389,0.599703581792552,0.620094531440678,0.618119710068127
"EMP",0.243292129283245,0.243286861409932,0.243293551169451,0.243292556521313
"acceptedLoans",0.558290832343569,0.558250984587795,0.558301587912444,0.558294064098997
"profit",30867.7312270111,29477.438174614,31039.9171821444,30657.4098816842
"profitPerLoan",0.334595044410119,0.319524770466473,0.336461477899542,0.332315237081148
"profitPerEUR",0.025602928080725,0.0244497635423314,0.0257457459831283,0.0254284791638726
"statParityDiff",0.265458700213992,0.276435555186802,0.268813764636334,0.259655102795726
"averageOddsDiff",0.273633927532498,0.262849178522812,0.255141599533954,0.255917548814455
"predParityDiff",0.0489209256404831,0.039406949084715,0.0399122443985257,0.0426236479427481
