"","glm","rf","xgbTree","nnet"
"AUC",0.738516887882514,0.717407791987747,0.725141653721947,0.730730623399422
"balAccuracy",0.672049786642247,0.65287114113525,0.662945948135587,0.667715750166215
"EMP",0.243140998968364,0.243111838093482,0.243117248997833,0.243118984155632
"acceptedLoans",0.559077422072876,0.558892180557751,0.55892722930529,0.558946235490806
"profit",44834.4011492765,39786.6099506486,43518.4115923116,44218.4256426693
"profitPerLoan",0.485988695875263,0.431272464615612,0.47172384495319,0.479311744126751
"profitPerEUR",0.0371801206150656,0.032994105394749,0.0360888012441831,0.036669306529352
"statParityDiff",0.0313227515125309,0.339903922403429,0.095186102067105,0.00195020765809134
"averageOddsDiff",0.0259249128718677,0.26054695625959,0.0532714554954833,0.0292608369729452
"predParityDiff",0.00820260429318254,0.00595911897512946,0.0000625015294686282,0.00162700116216274
