"","glm","rf","xgbTree","nnet"
"AUC",0.741473795556687,0.724910296905711,0.756248628103841,0.744508689440697
"balAccuracy",0.673261329954995,0.660415875659911,0.685057218397638,0.676681010044797
"EMP",0.243390049193997,0.243369368508543,0.243407798004796,0.24338637613015
"acceptedLoans",0.559000144462618,0.558869211809317,0.559101094539987,0.558997862502258
"profit",45101.2226571656,38192.2133411907,46750.6495144421,45590.7606705059
"profitPerLoan",0.488880944535366,0.413989781919383,0.506760135218442,0.494187359577968
"profitPerEUR",0.0374087538715423,0.0316781458354333,0.0387768543286408,0.0378147962352054
"statParityDiff",0.286396199997926,0.405773299730695,0.290620908999768,0.29849298389355
"averageOddsDiff",0.206319569922853,0.305358203387532,0.213401219749642,0.216383038884074
"predParityDiff",0.0166958645766866,0.0155163523819734,0.00713839105525971,0.0140793795736069
