"","glm","rf","xgbTree","nnet"
"AUC",0.738828306503207,0.725678535804155,0.745424073797963,0.742830450887305
"balAccuracy",0.670624813822572,0.658916661839112,0.674059923094675,0.673069520907112
"EMP",0.24338280413222,0.243371173490203,0.2433826927929,0.243388747019552
"acceptedLoans",0.558959080975923,0.558882865225805,0.558975881584525,0.558986391925654
"profit",43858.525981351,36827.2694628301,44040.5852915798,44458.8939949537
"profitPerLoan",0.475410561941498,0.399194283855769,0.47738401902985,0.481918334109672
"profitPerEUR",0.0369323778385971,0.0311866560338789,0.0371880463269205,0.0373380325723084
"statParityDiff",0.216355683236363,0.371753483853794,0.188755029160314,0.27638151440039
"averageOddsDiff",0.151686962146834,0.28115695369611,0.119356584970451,0.195909167382122
"predParityDiff",0.0185104573920052,0.0141889571098406,0.0247623087852524,0.0191708757865957
