"","glm","rf","xgbTree","nnet"
"AUC",0.740317146620601,0.723571998946485,0.754637766390024,0.743788226717177
"balAccuracy",0.672473648672391,0.659068664926214,0.682635215066783,0.675654352127876
"EMP",0.243390200462236,0.243366927535475,0.243402690917141,0.243392173800649
"acceptedLoans",0.559007169637843,0.558856628502643,0.559085986764252,0.55900055123916
"profit",45288.0374095334,42512.0245162348,46923.3632037308,45788.5760927222
"profitPerLoan",0.490905948896887,0.460814972968487,0.508632289155276,0.496331607222691
"profitPerEUR",0.0375637054821455,0.0352611696094703,0.0389201099548122,0.0379788722403713
"statParityDiff",0.579659341153207,0.528095138334319,0.579962698305694,0.579737989303852
"averageOddsDiff",0.431211028484084,0.401629800490398,0.422542326898645,0.428481195795543
"predParityDiff",NA,0.0201557325922808,NA,NA
