"","glm","rf","xgbTree","nnet"
"AUC",0.68031642486156,0.663232336134581,0.689203850711107,0.679595184980827
"balAccuracy",0.68031642486156,0.663232336134581,0.689203850711107,0.679595184980827
"EMP",0.243322202285566,0.243314500145148,0.243327124375756,0.243320535074667
"acceptedLoans",0.558518313450385,0.558460052176417,0.558555545600079,0.558505702172781
"profit",42404.3517955723,39830.2996280208,43731.8097598092,42675.5421956918
"profitPerLoan",0.459647839612074,0.431746044919687,0.474037003921881,0.462587445484118
"profitPerEUR",0.0351718615581884,0.0330368399708491,0.0362729081669784,0.0353967976981133
"statParityDiff",0.0550046290054379,0.0178575344928318,0.0698302167923309,0.0285205435883608
"averageOddsDiff",0.00747857249451003,0.0172640458817842,0.0186195965703811,0.0205960115768227
"predParityDiff",0.0346308040191969,0.028155967818205,0.0272943225800946,0.0308121018140463
