"","glm","rf","xgbTree","nnet"
"AUC",0.607194487731776,0.59077360923545,0.613104670261255,0.602031539079037
"balAccuracy",0.579780006551628,0.56060683158209,0.586022550251012,0.577459248641468
"EMP",0.17343551375994,0.173385650415833,0.173459160646188,0.173428575450888
"acceptedLoans",0.584053790428193,0.583748947974528,0.584305001154218,0.584061477770707
"profit",234732.8,117464,264452.2,224283.4
"profitPerLoan",15.6488533333333,7.83093333333334,17.6301466666667,14.9522266666667
"profitPerEUR",0.0156488533333333,0.00783093333333334,0.0176301466666667,0.0149522266666667
"statParityDiff",0.489685145599124,0.307351085128863,0.491913635282811,0.477537728433786
"averageOddsDiff",0.458122441736654,0.297099845723261,0.461934177213103,0.446927627756963
"predParityDiff",0.0801846908525931,0.0495964203832474,0.0418902744530424,0.0846235757914847
