"","glm","rf","xgbTree","nnet"
"AUC",0.605921179460727,0.597787412365181,0.613821866437225,0.601356623731106
"balAccuracy",0.578743429454513,0.569374718958034,0.582905125254102,0.573478009396963
"EMP",0.173423969391805,0.173400974104429,0.173451841306366,0.173414535202965
"acceptedLoans",0.584002634737813,0.58386486089886,0.584213466164139,0.583931271735991
"profit",230185,172608.2,249455,204738.4
"profitPerLoan",15.3456666666667,11.5072133333333,16.6303333333333,13.6492266666667
"profitPerEUR",0.0153456666666667,0.0115072133333333,0.0166303333333333,0.0136492266666667
"statParityDiff",0.591136859954064,0.536183052312085,0.458458705770534,0.550176094978962
"averageOddsDiff",0.561689761180079,0.515361227641345,0.427439729482206,0.522904202396205
"predParityDiff",0.0131836081239287,0.00162801592878892,0.0733534019596148,0.0443287506488276
