"","glm","rf","xgbTree","nnet"
"AUC",0.563144395350873,0.559388058783873,0.57083271071522,0.562067610579914
"balAccuracy",0.563144395350873,0.559388058783873,0.57083271071522,0.562067610579914
"EMP",0.173326128081113,0.173313878191262,0.173343867219226,0.173322134102634
"acceptedLoans",0.583298703385123,0.583206041585942,0.583432887485823,0.583268491747608
"profit",183374.4,114522.6,187647.2,155241.4
"profitPerLoan",12.22496,7.63484,12.5098133333333,10.3494266666667
"profitPerEUR",0.01222496,0.00763484,0.0125098133333333,0.0103494266666667
"statParityDiff",0.013502095939372,0.0344508803290165,0.0168761279872391,0.00392916521948772
"averageOddsDiff",0.0172519545934419,0.0553918854131553,0.0419953358668844,0.0311303298823678
"predParityDiff",0.127702421722706,0.110910554430812,0.112914064181542,0.121428686129942
