"","glm","rf","xgbTree","nnet"
"AUC",0.595710136242493,0.595664338506508,0.563091198824945,0.575982021411259
"balAccuracy",0.561145406520226,0.570764645491921,0.541329239341094,0.55297747688603
"EMP",0.172210840933096,0.172193468014326,0.172148190367451,0.172150052922976
"acceptedLoans",0.584490201527201,0.5843587876182,0.583907786071488,0.583994213660437
"profit",142623.2,169551.4,46230.8000000001,102221.8
"profitPerLoan",9.50821333333334,11.3034266666667,3.08205333333334,6.81478666666667
"profitPerEUR",0.00950821333333334,0.0113034266666667,0.00308205333333334,0.00681478666666667
"statParityDiff",0.0111129389786051,0.114494162238081,0.105813540652329,0.195593094373223
"averageOddsDiff",0.0283815265587216,0.0975302118363692,0.0962893522381816,0.188011982245146
"predParityDiff",0.0318117683843336,0.0238601747751235,0.0170278908883926,0.00471591486428968
