"","glm","rf","xgbTree","nnet"
"AUC",0.604505376391395,0.592868727346615,0.612285532486545,0.605445298432965
"balAccuracy",0.572223555311558,0.568361222977616,0.581297451764094,0.576197100850498
"EMP",0.173427446999641,0.173384049270565,0.173447615710542,0.173426949162033
"acceptedLoans",0.583992771061332,0.583736836436954,0.584217671837687,0.58406134393671
"profit",199640.6,171719.6,243024.6,217853
"profitPerLoan",13.3093733333333,11.4479733333333,16.20164,14.5235333333333
"profitPerEUR",0.0133093733333333,0.0114479733333333,0.01620164,0.0145235333333333
"statParityDiff",0.43538752499326,0.367999185203486,0.440842577043294,0.437376774294337
"averageOddsDiff",0.403082350337112,0.349427923900906,0.408490347831335,0.409796709732669
"predParityDiff",0.117507418397626,0.060784435991769,0.0908020027998839,0.0765526374872466
