"","glm","rf","xgbTree","nnet"
"AUC",0.592165115193852,0.783514272990587,0.79768120306071,0.792162541624926
"balAccuracy",0.5,0.711399980681227,0.716537821939868,0.717332907352879
"EMP",0.186218381201756,0.188405418578866,0.188398351289131,0.188336792620552
"acceptedLoans",0.584372051339068,0.599757062038794,0.598299476779182,0.600415802403747
"profit",-87111829.9264,33184757.6356,40479840.4726,38327631.0876
"profitPerLoan",-12338.7861085552,4700.39059994334,5733.68845220963,5428.84293025496
"profitPerEUR",-0.209185591649074,0.0796880649344543,0.0972060785116707,0.0920378804157945
"statParityDiff",0,0.359522195975863,0.236200911392472,0.31006847018738
"averageOddsDiff",0,0.286153549953499,0.180572955244651,0.247825120153955
"predParityDiff",NA,0.0165598788861544,0.0209830399485572,0.00540911916420383
