"","glm","rf","xgbTree","nnet"
"AUC",0.467840932126258,0.670832371551701,0.683362704519368,0.680929944959637
"balAccuracy",0.467840932126258,0.670832371551701,0.683362704519368,0.680929944959637
"EMP",0.185323385374054,0.185716658491588,0.185775877627349,0.185766789277334
"acceptedLoans",0.577602037513792,0.580576871988331,0.581024823090906,0.580956076116511
"profit",-2833650.666,18240295.848,23756708.938,23818251.77
"profitPerLoan",-401.366949858357,2583.61130991501,3364.97293739377,3373.69005240793
"profitPerEUR",-0.00680457397800985,0.04380125043914,0.0570480636100642,0.0571958492062864
"statParityDiff",0.579373104145602,0.169893203429122,0.188455650934785,0.157539390218778
"averageOddsDiff",0.632167702113115,0.172370881836374,0.194979690028573,0.165239653527976
"predParityDiff",NA,0.0541867719999103,0.0653787580412236,0.0575225045507817
