"","glm","rf","xgbTree","nnet"
"AUC",0.680594858007058,0.778860471629418,0.768027670419537,0.77841404805915
"balAccuracy",0.5,0.707663697977931,0.698748669691368,0.708469724976194
"EMP",0.185792027675708,0.186751237828149,0.186420441996708,0.186623875250313
"acceptedLoans",0.593333417894706,0.601451102564506,0.595165322402698,0.598907573514259
"profit",19886516.2988,27111897.137,27304300.6294,27762010.4758
"profitPerLoan",2816.78701116147,3840.21205906516,3867.46467838527,3932.2961013881
"profitPerEUR",0.0479577048497522,0.0653822087929773,0.0658462030774432,0.0669500019223822
"statParityDiff",0,0.0604330729600646,0.0236481940266275,0.0280257945301859
"averageOddsDiff",0,0.0570011380794132,0.0175608171507524,0.0339457150459672
"predParityDiff",NA,0.00915641376167697,0.00257404367570879,0.0124412367624263
