"","glm","rf","xgbTree","nnet"
"AUC",0.699684913534887,0.785404485673951,0.799605711100903,0.79300909841645
"balAccuracy",0.5,0.706278125026926,0.721378058862396,0.720264054974153
"EMP",0.187084991022498,0.188383027314633,0.188518908140302,0.188400524900516
"acceptedLoans",0.590927344990677,0.600174480430663,0.599973481271968,0.600513657139845
"profit",20286898.0068,27540511.6162,36183695.1592,37709376.414
"profitPerLoan",2873.49830124646,3900.92232524079,5125.16928600567,5341.27144674221
"profitPerEUR",0.0487158491086958,0.0661342807471783,0.0868895497468259,0.0905532374023704
"statParityDiff",0,0.115436662120419,0.113465048493401,0.193376524074155
"averageOddsDiff",0,0.0769739784722907,0.0675601441129517,0.145674541396199
"predParityDiff",NA,0.0317911460172774,0.0385576065251081,0.0176363007817292
