"","glm","rf","xgbTree","nnet"
"AUC",0.723630915469105,0.704307322234793,0.726502603629931,0.716584599147194
"balAccuracy",0.66518432115866,0.651366646956062,0.655734031034753,0.661134196819842
"EMP",0.258106530352516,0.258097153634735,0.258115756562161,0.258102645571755
"acceptedLoans",0.554339812681668,0.554268884407983,0.554349320244955,0.554310427048072
"profit",323155.14,63996.21,152024.75,235499.42
"profitPerLoan",35.9061266666667,7.11069,16.8916388888889,26.1666022222222
"profitPerEUR",0.0218375364488129,0.00399892584990018,0.0108524380101868,0.0155026640949516
"statParityDiff",0.308734222910911,0.236400669963702,0.252181293610556,0.416184788581587
"averageOddsDiff",0.20732418867956,0.163001147133514,0.18262320913491,0.294848545588061
"predParityDiff",0.0127088273515266,0.0110158251864706,0.00877978045725203,0.0131253529079616
