"","glm","rf","xgbTree","nnet"
"AUC",0.699387892434713,0.690717165681465,0.665908776336267,0.65008422879173
"balAccuracy",0.649717943264566,0.63781281965586,0.633318648153212,0.606616939608463
"EMP",0.256929130928197,0.256921044260511,0.256921609627188,0.256917918093398
"acceptedLoans",0.554651778942487,0.554590608990248,0.554594885591439,0.554566961735235
"profit",377979.27,127047.37,350545.07,470565.06
"profitPerLoan",41.9976966666667,14.1163744444444,38.9494522222222,52.2850066666667
"profitPerEUR",0.0206362803521463,0.00693631993448441,0.0191384737596397,0.0256911245478742
"statParityDiff",0.0454728009469629,0.0903937212560511,0.08853834277833,0.140524098880656
"averageOddsDiff",0.0420825900955518,0.0150092367467586,0.0150192906661525,0.075271179411875
"predParityDiff",0.00337376363092201,0.00959066454025903,0.00900623755392216,0.00132713257817907
