"","glm","rf","xgbTree","nnet"
"AUC",0.714628839105361,0.662996653997278,0.672052432009663,0.71069211824803
"balAccuracy",0.642407771918598,0.623377587691942,0.642349720136408,0.645165906593332
"EMP",0.258107427412703,0.258094025927274,0.258093975834658,0.258104632245635
"acceptedLoans",0.554346598310912,0.554245225501314,0.554244846585914,0.554325454838391
"profit",528890.19,123235.93,340954,409000.87
"profitPerLoan",58.7655766666667,13.6928811111111,37.8837777777778,45.4445411111111
"profitPerEUR",0.0290129537643758,0.00676026594329505,0.0187034715803274,0.0224362704305396
"statParityDiff",0.688760011046672,0.67881800607567,0.688621927644297,0.688898094449047
"averageOddsDiff",0.539437060600164,0.552499555841321,0.539365149195015,0.536192587203154
"predParityDiff",NA,NA,NA,NA
