"","glm","rf","xgbTree","nnet"
"AUC",0.727436682306147,0.698467492952034,0.677741506664255,0.720615222887343
"balAccuracy",0.658201906798539,0.642916737543843,0.63125912965528,0.647459627010549
"EMP",0.2581185590529,0.258097550833165,0.258094504254522,0.258106351526668
"acceptedLoans",0.554370519115901,0.55427188893468,0.554248843710454,0.554338459989928
"profit",505365.55,191448.79,381085.08,333302.6
"profitPerLoan",56.1517277777778,21.2720877777778,42.3427866666667,37.0336222222222
"profitPerEUR",0.0277224792848934,0.0105021703891231,0.0209049137521977,0.0182837441612336
"statParityDiff",0.371097023148057,0.229327312331461,0.24681866208965,0.424960389385769
"averageOddsDiff",0.26145290583453,0.149929111740243,0.177347982577268,0.309606217902818
"predParityDiff",0.0129398301345687,0.0148977737757374,0.0134574198938586,0.014989620507079
