"","glm","rf","xgbTree","nnet"
"AUC",0.631116025261976,0.629512176023804,0.65256953388469,0.628388941540505
"balAccuracy",0.631116025261976,0.629512176023804,0.65256953388469,0.628388941540505
"EMP",0.258089099928138,0.258088841921488,0.258091371726345,0.258088885438755
"acceptedLoans",0.554207963783194,0.554206012144388,0.554225148338463,0.554206341321896
"profit",497683.34,167071.09,141266.56,271698.63
"profitPerLoan",55.2981488888889,18.5634544444444,15.6962844444444,30.1887366666667
"profitPerEUR",0.0273010617434975,0.00916490020269399,0.0077493594156708,0.0149043789033679
"statParityDiff",0.161119295576713,0.080148696502107,0.142201869451333,0.180450971909217
"averageOddsDiff",0.195617753979961,0.142706190168162,0.150675588300331,0.20585909190699
"predParityDiff",0.0228850218432346,0.0242173670885448,0.0159146436678621,0.0223536464977484
