"","glm","rf","xgbTree","nnet"
"AUC",0.660279620584352,0.634869140482613,0.674876268701449,0.650556622088298
"balAccuracy",0.660279620584352,0.634869140482613,0.674876268701449,0.650556622088298
"EMP",0.258093386983583,0.258090876548803,0.258096815856676,0.258093948793673
"acceptedLoans",0.554240392341776,0.55422140266871,0.554266329354586,0.554244642039886
"profit",384557.59,227819.19,304533.76,287993.02
"profitPerLoan",42.7286211111111,25.3132433333333,33.8370844444444,31.9992244444444
"profitPerEUR",0.021095402768597,0.0124973156074374,0.0167055923245079,0.0157982286903884
"statParityDiff",0.0738590682150858,0.0513217833400726,0.0678795384903951,0.00849236488327021
"averageOddsDiff",0.0277752039718918,0.0119682263711915,0.0278132201626013,0.0428475887156972
"predParityDiff",0.0133331734224037,0.0185881584754626,0.0119989915454297,0.0167195282782373
