"","glm","rf","xgbTree","nnet"
"AUC",0.785495580808081,0.786913404882155,0.78236531986532,0.769670664983165
"balAccuracy",0.708454335016835,0.712481586700337,0.705868581649832,0.69949757996633
"EMP",0.154186734611991,0.155158815775052,0.154583450417414,0.154183107171258
"acceptedLoans",0.610090265932535,0.613969267233791,0.613091141919097,0.609483808752215
"profit",14408647.6448,15194587.9574,13992745.7036,14374287.3864
"profitPerLoan",15377.4254480256,16216.2091327641,14933.5599824973,15340.7549481323
"profitPerEUR",0.063488922118611,0.0669520162636432,0.0616563305663181,0.0633375202783196
"statParityDiff",0.416570170061077,0.387064913834207,0.409542946665758,0.297152782508004
"averageOddsDiff",0.337803150141744,0.308497902543814,0.334668113649462,0.218880505752816
"predParityDiff",0.0634965034965035,0.0411406318698574,0.0130837359098229,0.15858875635412
