"","glm","rf","xgbTree","nnet"
"AUC",0.802271245381439,0.806590958487285,0.80466202999348,0.808737231036731
"balAccuracy",0.726146489893502,0.735492284286025,0.719191480113019,0.742447294066507
"EMP",0.16829755947595,0.169969513447085,0.171129112534859,0.167359658959632
"acceptedLoans",0.618275824881112,0.612855031722779,0.614392716400851,0.61782345698158
"profit",42257.7864,38985.4454,47406.9936,55047.4164
"profitPerLoan",140.859288,129.951484666667,158.023312,183.491388
"profitPerEUR",0.0452088385448539,0.0417079751883979,0.0507176381477313,0.0588916261912607
"statParityDiff",0.378275150867008,0.3028034527538,0.256970437705294,0.355358643342755
"averageOddsDiff",0.280658129989172,0.178623932915313,0.148550401651935,0.241444310140767
"predParityDiff",0.0565476190476191,0.242857142857143,0.197699890470975,0.121521662557239
