"","glm","rf","xgbTree","nnet"
"AUC",0.738484867910182,0.725027778226239,0.747076034624174,0.742907930770646
"balAccuracy",0.670899166146715,0.659266252794838,0.676913210691277,0.674225889686728
"EMP",0.243379540553651,0.243369097259847,0.243385956576741,0.243383292457197
"acceptedLoans",0.558922632425086,0.558849517191515,0.558982927001042,0.558988222629764
"profit",43878.475338341,40402.5853930859,44855.7986604838,43986.4956188811
"profitPerLoan",0.475626805757377,0.437949415668545,0.486220637159189,0.476797706537181
"profitPerEUR",0.0370511600341706,0.0341161046652281,0.0378764157554467,0.0371423727910033
"statParityDiff",0.229398014955248,0.381951117149445,0.244897549980468,0.277953682289128
"averageOddsDiff",0.160026394489132,0.285643250286706,0.174837225890932,0.190733768391778
"predParityDiff",0.0196853142198267,0.0198438940175965,0.0150811611240477,0.0240795893796337
