"","glm","rf","xgbTree","nnet"
"AUC",0.604834236234216,0.585607216843244,0.60881093757454,0.603733644742593
"balAccuracy",0.571734993490641,0.557977968406097,0.575851575151459,0.57022524198374
"EMP",0.173416311540846,0.173368722697439,0.173456485404993,0.173419076592945
"acceptedLoans",0.58398087781578,0.583620901693182,0.58417625683656,0.583965624156416
"profit",198033,106189.6,217303,188662.4
"profitPerLoan",13.2022,7.07930666666667,14.4868666666667,12.5774933333333
"profitPerEUR",0.0132022,0.00707930666666667,0.0144868666666667,0.0125774933333333
"statParityDiff",0.397065432907727,0.268454763078419,0.473846344814087,0.393162127929153
"averageOddsDiff",0.367350216286909,0.251846993279457,0.443476854251053,0.363801003541952
"predParityDiff",0.105774513893063,0.083647688870886,0.0893099714081336,0.107710627094303
