"glm_scores","glm_class","rf_scores","rf_class","xgbTree_scores","xgbTree_class","nnet_scores","nnet_class"
"1","Bad","0.962","Good","0.754448175430298","Bad","0.827891033014458","Bad"
"1","Bad","0.978","Good","0.930287897586823","Good","0.925113012898649","Good"
"1","Bad","0.912","Bad","0.768689155578613","Bad","0.836931116142936","Bad"
"1","Bad","0.956","Good","0.792821049690247","Bad","0.841684428807201","Bad"
"1","Bad","0.992","Good","0.915389880537987","Good","0.91544219476165","Good"
"1","Bad","0.908","Bad","0.920269981026649","Good","0.967823745412019","Good"
"1","Bad","0.976","Good","0.970347989350557","Good","0.931682672922652","Good"
"1","Bad","0.992","Good","0.895702511072159","Good","0.886773514963456","Good"
"1","Bad","0.962","Good","0.861244335770607","Good","0.814103703913051","Bad"
"1","Bad","0.268","Bad","0.14616322517395","Bad","0.377615584122103","Bad"
"2.22044604925031e-16","Bad","0.986","Good","0.864552602171898","Good","0.816711582290426","Bad"
"1","Bad","0.982","Good","0.906229227781296","Good","0.894626342348997","Good"
"1","Bad","0.986","Good","0.918501578271389","Good","0.883624983993229","Good"
"1","Bad","0.898","Bad","0.799970626831055","Bad","0.846235768216748","Bad"
"1","Bad","0.98","Good","0.82232928276062","Bad","0.870370960522424","Good"
"1","Bad","0.622","Bad","0.596704959869385","Bad","0.64970524894556","Bad"
"1","Bad","0.966","Good","0.952851697802544","Good","0.912256133433391","Good"
"1","Bad","0.972","Good","0.762324169278145","Bad","0.824643962381941","Bad"
"1","Bad","0.734","Bad","0.694971799850464","Bad","0.675527594509952","Bad"
"1","Bad","0.87","Bad","0.822091445326805","Bad","0.816656476209542","Bad"
"1","Bad","0.994","Good","0.909395761787891","Good","0.897425281117809","Good"
"1","Bad","0.642","Bad","0.532828152179718","Bad","0.588337774864261","Bad"
"1","Bad","0.97","Good","0.859922394156456","Good","0.860939028684269","Good"
"1","Bad","0.98","Good","0.850440099835396","Good","0.883185064992583","Good"
"1","Bad","0.978","Good","0.866258636116982","Good","0.869136057528381","Good"
"1","Bad","0.986","Good","0.871651470661163","Good","0.877811308777779","Good"
"1","Bad","0.964","Good","0.862684637308121","Good","0.900854286329842","Good"
"1","Bad","0.524","Bad","0.599405854940414","Bad","0.443045567675327","Bad"
"1","Bad","0.986","Good","0.94273804500699","Good","0.859742574971465","Good"
"1","Bad","0.98","Good","0.914803989231586","Good","0.906812580476586","Good"
"1","Bad","0.988","Good","0.964776575565338","Good","0.943631109210967","Good"
"1","Bad","0.392","Bad","0.377682089805603","Bad","0.345130254013496","Bad"
"1","Bad","0.99","Good","0.905314035713673","Good","0.89490328061952","Good"
"1","Bad","0.982","Good","0.893549352884293","Good","0.888693968401236","Good"
"1","Bad","0.954","Good","0.822750553488731","Bad","0.881438402669671","Good"
"1","Bad","0.674","Bad","0.544899553060532","Bad","0.606252315458102","Bad"
"1","Bad","0.496","Bad","0.340557813644409","Bad","0.315576019436428","Bad"
"1","Bad","0.976","Good","0.859706491231918","Good","0.878594886652432","Good"
"1","Bad","0.982","Good","0.887351408600807","Good","0.87646219786861","Good"
"1","Bad","0.968","Good","0.904340036213398","Good","0.879551796154362","Good"
"1","Bad","0.99","Good","0.92289711534977","Good","0.872289562010509","Good"
"1","Bad","0.69","Bad","0.582433611154556","Bad","0.598100379086513","Bad"
"1","Bad","0.978","Good","0.963895719498396","Good","0.957805359378373","Good"
"2.22044604925031e-16","Bad","0.112","Bad","0.209635198116302","Bad","0.163257084373212","Bad"
"1","Bad","0.998","Good","0.92561449855566","Good","0.902820193790415","Good"
"2.22044604925031e-16","Bad","0.31","Bad","0.242455899715424","Bad","0.194551801119249","Bad"
"1","Bad","0.97","Good","0.855653032660484","Good","0.831334296361845","Bad"
"1","Bad","0.976","Good","0.847288519144058","Good","0.871724775312457","Good"
"1","Bad","0.996","Good","0.929124064743519","Good","0.863480419434598","Good"
"1","Bad","0.956","Good","0.854540109634399","Good","0.86770141116114","Good"
"1","Bad","0.666","Bad","0.739076346158981","Bad","0.703609640406565","Bad"
"1","Bad","0.958","Good","0.941398348659277","Good","0.930147654889295","Good"
"1","Bad","0.604","Bad","0.54351794719696","Bad","0.544148572263329","Bad"
"1","Bad","0.96","Good","0.845490097999573","Good","0.827315858660038","Bad"
"1","Bad","0.344","Bad","0.440394818782806","Bad","0.410238694169462","Bad"
"1","Bad","0.936","Bad","0.878022857010365","Good","0.873853389043513","Good"
"1","Bad","0.414","Bad","0.395877420902252","Bad","0.393531780007915","Bad"
"1","Bad","0.924","Bad","0.823242947459221","Bad","0.79141498000981","Bad"
"1","Bad","0.966","Good","0.893678419291973","Good","0.930730777659857","Good"
"1","Bad","0.986","Good","0.883730448782444","Good","0.877386579027638","Good"
"1","Bad","0.996","Good","0.956218630075455","Good","0.932766176712784","Good"
"1","Bad","0.994","Good","0.842729553580284","Good","0.87110019162986","Good"
"2.22044604925031e-16","Bad","0.964","Good","0.841707646846771","Good","0.83502139157611","Bad"
"1","Bad","0.952","Good","0.889224469661713","Good","0.887719041062339","Good"
"1","Bad","0.436","Bad","0.399007856845856","Bad","0.341732481931386","Bad"
"1","Bad","0.97","Good","0.805306524038315","Bad","0.885428836296051","Good"
"1","Bad","0.976","Good","0.740005880594254","Bad","0.870814756960863","Good"
"1","Bad","0.966","Good","0.864600718021393","Good","0.8749080815792","Good"
"1","Bad","0.986","Good","0.955034509301186","Good","0.93535470742307","Good"
"2.22044604925031e-16","Bad","0.316","Bad","0.371979057788849","Bad","0.433582667081932","Bad"
"1","Bad","0.936","Bad","0.800025328993797","Bad","0.831449924699394","Bad"
"1","Bad","0.982","Good","0.89661655575037","Good","0.870391588235882","Good"
"1","Bad","0.97","Good","0.928832061588764","Good","0.926800723133517","Good"
"1","Bad","0.482","Bad","0.490277945995331","Bad","0.374766536859274","Bad"
"1","Bad","0.988","Good","0.898969486355782","Good","0.899904550240121","Good"
"1","Bad","0.804","Bad","0.663978159427643","Bad","0.805156139429131","Bad"
"1","Bad","0.986","Good","0.870696559548378","Good","0.8183018058959","Bad"
"1","Bad","0.95","Good","0.897652983665466","Good","0.898848008429728","Good"
"1","Bad","0.99","Good","0.97797473706305","Good","0.953438663567624","Good"
"2.22044604925031e-16","Bad","0.954","Good","0.738724589347839","Bad","0.803854160622607","Bad"
"1","Bad","0.994","Good","0.895374841988087","Good","0.874077021220599","Good"
"1","Bad","0.926","Bad","0.867848560214043","Good","0.834975531147011","Bad"
"1","Bad","0.982","Good","0.929690383374691","Good","0.917764732563935","Good"
"1","Bad","0.898","Bad","0.749723106622696","Bad","0.713225165089266","Bad"
"1","Bad","0.982","Good","0.921308383345604","Good","0.882989920256891","Good"
"1","Bad","0.436","Bad","0.568647533655167","Bad","0.577163416114487","Bad"
"1","Bad","0.992","Good","0.858746618032455","Good","0.825228705760384","Bad"
"2.22044604925031e-16","Bad","0.456","Bad","0.433300495147705","Bad","0.843501040979939","Bad"
"1","Bad","0.998","Good","0.974979631602764","Good","0.943939444049487","Good"
"1","Bad","0.994","Good","0.956946838647127","Good","0.942540245773469","Good"
"1","Bad","0.778","Bad","0.879728056490421","Good","0.710541423468983","Bad"
"1","Bad","0.958","Good","0.85988375544548","Good","0.890784722109643","Good"
