"glm_scores","glm_class","rf_scores","rf_class","xgbTree_scores","xgbTree_class","nnet_scores","nnet_class"
"1","Bad","0.95","Good","0.875284053385258","Good","0.882147195483762","Good"
"2.22044604925031e-16","Bad","0.998","Good","0.940168190747499","Good","0.904084188916467","Good"
"1","Bad","0.98","Good","0.881884023547173","Good","0.885310890705365","Good"
"1","Bad","0.95","Good","0.837744131684303","Good","0.8637569063146","Good"
"1","Bad","0.98","Good","0.939348556101322","Good","0.859042069864229","Good"
"2.22044604925031e-16","Bad","0.906","Bad","0.889362439513206","Good","0.814018826847785","Bad"
"1","Bad","0.654","Bad","0.544704616069794","Bad","0.558074648373098","Bad"
"2.22044604925031e-16","Bad","0.686","Bad","0.553715258836746","Bad","0.462143010289579","Bad"
"2.22044604925031e-16","Bad","0.392","Bad","0.264021277427673","Bad","0.304404728067984","Bad"
"1","Bad","0.994","Good","0.898551642894745","Good","0.870454197257303","Good"
"1","Bad","0.898","Bad","0.844105586409569","Good","0.930664891331943","Good"
"1","Bad","0.984","Good","0.924359731376171","Good","0.912763458220763","Good"
"1","Bad","0.96","Good","0.854796126484871","Good","0.859929279125472","Good"
"1","Bad","0.99","Good","0.863372996449471","Good","0.82123127017169","Bad"
"1","Bad","0.408","Bad","0.214211046695709","Bad","0.221825704182506","Bad"
"1","Bad","0.946","Good","0.813436076045036","Bad","0.880829471031477","Good"
"1","Bad","0.974","Good","0.853361576795578","Good","0.916961152353481","Good"
"1","Bad","0.772","Bad","0.693635851144791","Bad","0.630393903890943","Bad"
"1","Bad","0.838","Bad","0.862678572535515","Good","0.933038556436323","Good"
"1","Bad","0.968","Good","0.87098141014576","Good","0.901421021857205","Good"
"1","Bad","0.978","Good","0.875409245491028","Good","0.841865811706074","Bad"
"1","Bad","0.94","Bad","0.932808749377728","Good","0.960179613100169","Good"
"1","Bad","0.984","Good","0.951741311699152","Good","0.913663281199118","Good"
"2.22044604925031e-16","Bad","0.054","Bad","0.125979006290436","Bad","0.170999695926341","Bad"
"1","Bad","0.404","Bad","0.489269554615021","Bad","0.446111944297065","Bad"
"2.22044604925031e-16","Bad","0.052","Bad","0.186387062072754","Bad","0.178003687551346","Bad"
"1","Bad","0.962","Good","0.968883438035846","Good","0.952211011823016","Good"
"1","Bad","0.956","Good","0.868512064218521","Good","0.887831838645237","Good"
"1","Bad","0.972","Good","0.89512787759304","Good","0.876944940465179","Good"
"1","Bad","0.98","Good","0.815534472465515","Bad","0.817351377469144","Bad"
"1","Bad","0.998","Good","0.94767439737916","Good","0.899993353935975","Good"
"1","Bad","0.962","Good","0.867246389389038","Good","0.92037068466636","Good"
"2.22044604925031e-16","Bad","0.348","Bad","0.380445897579193","Bad","0.312279972710226","Bad"
"2.22044604925031e-16","Bad","0.164","Bad","0.161411583423615","Bad","0.216398491572723","Bad"
"1","Bad","0.936","Bad","0.914382837712765","Good","0.876121763033763","Good"
"1","Bad","0.96","Good","0.84988084435463","Good","0.858926621963249","Good"
"2.22044604925031e-16","Bad","0.262","Bad","0.240644693374634","Bad","0.266760339402836","Bad"
"1","Bad","0.992","Good","0.930235005915165","Good","0.905008736056803","Good"
"1","Bad","0.94","Bad","0.878309696912766","Good","0.803026577151503","Bad"
"1","Bad","0.952","Good","0.885590963065624","Good","0.826548835523523","Bad"
"1","Bad","0.942","Bad","0.795919761061668","Bad","0.79911832471706","Bad"
"1","Bad","0.972","Good","0.967459078878164","Good","0.916836341545559","Good"
"1","Bad","0.75","Bad","0.754839494824409","Bad","0.71707995799761","Bad"
"1","Bad","0.986","Good","0.902788184583187","Good","0.880268142769431","Good"
"1","Bad","0.888","Bad","0.696737408638","Bad","0.798592782296039","Bad"
"2.22044604925031e-16","Bad","0.354","Bad","0.388404905796051","Bad","0.372464070717934","Bad"
"1","Bad","0.956","Good","0.812808528542519","Bad","0.858765141819045","Good"
"1","Bad","0.984","Good","0.854033082723618","Good","0.91272677509396","Good"
"1","Bad","0.994","Good","0.91262474656105","Good","0.906187082349887","Good"
"1","Bad","0.972","Good","0.943460576236248","Good","0.926153430679119","Good"
"1","Bad","0.98","Good","0.846378162503242","Good","0.895049019526114","Good"
"2.22044604925031e-16","Bad","0.442","Bad","0.378896296024323","Bad","0.237185745821628","Bad"
"1","Bad","0.95","Good","0.820488542318344","Bad","0.874296737597467","Good"
"1","Bad","0.596","Bad","0.711271792650223","Bad","0.541410306013701","Bad"
"1","Bad","1","Good","0.961313799023628","Good","0.929855026794694","Good"
"1","Bad","0.792","Bad","0.729853093624115","Bad","0.739946907848258","Bad"
"1","Bad","0.908","Bad","0.851690366864204","Good","0.831993906300774","Bad"
"1","Bad","0.348","Bad","0.345514357089996","Bad","0.354958219979784","Bad"
"1","Bad","0.716","Bad","0.671246916055679","Bad","0.754712373873553","Bad"
"1","Bad","0.988","Good","0.896754294633865","Good","0.886297286591256","Good"
"1","Bad","0.906","Bad","0.873584046959877","Good","0.941876099847585","Good"
"1","Bad","0.982","Good","0.862424790859222","Good","0.889626113796702","Good"
"1","Bad","0.784","Bad","0.755954131484032","Bad","0.676735588876148","Bad"
"1","Bad","0.976","Good","0.881914846599102","Good","0.865871160862233","Good"
"1","Bad","0.982","Good","0.861389264464378","Good","0.918213833764254","Good"
"1","Bad","0.986","Good","0.846821680665016","Good","0.916975087171592","Good"
"1","Bad","0.97","Good","0.904693260788918","Good","0.881115328832571","Good"
"1","Bad","0.97","Good","0.86823707818985","Good","0.868176739202802","Good"
"2.22044604925031e-16","Bad","0.574","Bad","0.664869785308838","Bad","0.382537291139595","Bad"
"1","Bad","0.998","Good","0.946656137704849","Good","0.91969322905195","Good"
"1","Bad","0.992","Good","0.963801052421331","Good","0.966377132259407","Good"
"1","Bad","0.68","Bad","0.566400170326233","Bad","0.608091922021523","Bad"
"1","Bad","0.888","Bad","0.561562597751617","Bad","0.810295015861956","Bad"
"1","Bad","0.97","Good","0.856690764427185","Good","0.8477251408141","Bad"
"1","Bad","0.968","Good","0.785163640975952","Bad","0.896204481051485","Good"
"1","Bad","0.984","Good","0.917961426079273","Good","0.894664079887975","Good"
"1","Bad","0.978","Good","0.922754108905792","Good","0.910663048694355","Good"
"1","Bad","0.636","Bad","0.629643529653549","Bad","0.650936522315956","Bad"
"1","Bad","0.99","Good","0.933445818722248","Good","0.903001574491642","Good"
"1","Bad","0.964","Good","0.8073770403862","Bad","0.893544182856524","Good"
"1","Bad","0.974","Good","0.853732511401176","Good","0.864755521747461","Good"
