"","glm","rf","xgbTree","nnet"
"AUC",0.786573135386958,0.787857482328538,0.801695290346191,0.790741069942574
"balAccuracy",0.713222452949038,0.708987628275972,0.719106515823027,0.718668555613351
"EMP",0.188176995988843,0.188389876725539,0.188363717277732,0.188345898081342
"acceptedLoans",0.598803359230407,0.599564072611145,0.59921676309479,0.599078421447324
"profit",21002490.7758,13208240.8438,17865496.882,20745795.0456
"profitPerLoan",2974.8570503966,1870.85564359773,2530.52363767705,2938.49788181303
"profitPerEUR",0.0850094752701671,0.0534615458404199,0.0723122096132323,0.0839704761551889
"statParityDiff",0.231236568819358,0.152898819979751,0.10377452921021,0.195938555872129
"averageOddsDiff",0.182152063887434,0.105000647026099,0.0601912776729812,0.150495758925685
"predParityDiff",0.0107969535365923,0.0365687662668874,0.0381444410677698,0.01296170917024
