"","glm","rf","xgbTree","nnet"
"AUC",0.722387677301693,0.707244412403461,0.723802970751202,0.699163964333705
"balAccuracy",0.656909917134456,0.653819672263938,0.659610000027001,0.646109585564277
"EMP",0.25810751540918,0.258097554918722,0.258103696507356,0.258099506211678
"acceptedLoans",0.554347263942356,0.554271919839044,0.55431837663658,0.554286679997567
"profit",319874.13,131055.97,236086.16,282821.73
"profitPerLoan",35.54157,14.5617744444444,26.2317955555556,31.4246366666667
"profitPerEUR",0.0210569571256476,0.00862726829878414,0.0155412885345832,0.018617838969383
"statParityDiff",0.344372465132763,0.226299845516248,0.306906149471277,0.324578939877638
"averageOddsDiff",0.229627507918185,0.149534150992467,0.225913048415837,0.219527736046637
"predParityDiff",0.0169634096334373,0.0122397741922147,0.00751802777461119,0.0174931810819001
